Variable,File,Function(s),Model Version,Description
epsilon_G,government.jl,gov_expenditure,Both,"Fiscal Shock: A random number representing the unpredictable shock to government spending for the current period."
social_security,government.jl,gov_revenues,Both,"Social Security Tax Revenue: Total social insurance contributions from firms (tau_SIF) and workers (tau_SIW) on wages."
labour_income,government.jl,gov_revenues,Both,"Labour Income Tax Revenue: Personal income tax (tau_INC) collected from wage earners after social insurance contributions."
value_added,government.jl,gov_revenues,Both,"Value Added Tax Revenue: Total VAT (tau_VAT) collected from household consumption."
capital_income,government.jl,gov_revenues,Both,"Capital Income Tax Revenue: Personal income tax (tau_INC) collected from dividends paid to firm owners and bank owners."
corporate_income,government.jl,gov_revenues,Both,"Corporate Income Tax Revenue: Corporate tax (tau_FIRM) collected from firm profits and bank profits."
capital_formation,government.jl,gov_revenues,Both,"Capital Formation Tax Revenue: Tax (tau_CF) collected from household housing investments."
products,government.jl,gov_revenues,Both,"Product Tax Revenue: Tax on products (tau_Y_i) collected from firm sales."
production,government.jl,gov_revenues,Both,"Production Tax Revenue: Tax on production (tau_K_i) collected from firm output."
export_,government.jl,gov_revenues,Both,"Export Tax Revenue: Export tax (tau_EXPORT) collected from total export consumption. Variable has trailing underscore to avoid Julia keyword conflict."
social_benefits,government.jl,gov_loans,Both,"Total Social Benefits: Total outlay on social benefits (unemployment benefits + sb_inact for inactive + sb_other for all)."
Pi_G,government.jl,gov_loans,Both,"Government Deficit/Surplus: Budget balance calculated as Expenditures - Revenues."
DL_G,government.jl,gov_loans,Both,"Change in Government Debt: New debt issued (or repaid) based on the deficit (Pi_G). Used to update L_G."
